1,"Неподвижное ударение на окончании у существительных с суффиксами -Ак, -Арь, -Ач, -Ич, -Ун, -ствО, -ьЁ, -изнА, -отА, -отнЯ"
2,"В существительных И.п. множественного числа ударение падает на -А:\nбЕрег — берегА, -Ам; вЕчер — вечерА, -Ам"
3,"В заимствованных из других языков существительных ударение падает на последний слог:\nжалюзИ, партЕр, экспЕрт, диспансЕр"
4,"В существительных, оканчивающихся\nна пОрты: аэропОрты\nна вОд: нефтепровОд\nна лОг: диалОг, НО: анАлог\nна мЕтр: киломЕтр\nна зЫв: созЫв\nна Яр: школЯр"
5,"Слова с Ё и с суффиксом ЁР:\nсвЁкла, договорЁнность, стажЁр, шофЁр"
6,"Неподвижное ударение в списке существительных от ФИПИ:\nбАнты, шАрфы, тОрты, срЕдства"
7,Запомнить:)
8,В производных словах сохраняется ударение от производящих слов
9,"В прилагательных на лИва ударение падает на И:\nсмазлИва, суетлИва, прозорлИва, болтлИва, НО: прожОрлива"
10,"В кратких прилагательных ж.р. ударение чаще всего падает на последний слог:\nумнА, ловкА, сильнА, НО: красИва"
11,"Если в краткой форме прилагательного ударение падает на последний слог, то в форме сравнительной степени ударение тоже будет падать на последний слог"
12,Ударение на основе в краткой степени прилагательного сохраняется и в сравнительной степени
13,"Если ударение падает на корень, то в сравнительной степени оно остается на корне: красИва - красИвее"
14,"В инфинитивах ударение падает на Ить, Ать, Ять, ировАть\nИсключения:\nопОшлить, озлОбить, клЕить, освЕдомиться, откУпорить, принУдить, дозИровать, чЕрпать, исчЕрпать, щЁлкать"
15,"В личных формах глаголов на Ишь, Ит, Им, Ите:\nвключИшь, включИте, обзвонИте, облегчИт"
16,"В глаголах прошедшего времени ударение будет падать на -лА:\nбралА, бралАсь, взялА, взялАсь, влилАсь\nИсключения: клАла, послАла, крАлась, укрАла"
17,"В причастиях с суффиксом Т ударение будет падать на первый слог:\nзАгнутый, зАнятый, зАпертый"
18,"В кратких причастиях с суффиксом Т  ж.р. ударение будет падать на последний слог:\nзанятА, запертА, начатА"
19,"В страдательных причастиях с суффиксом ЁНН, ударение будет падать на Ё:\nвключЁнный, решЁнный"
20,"В причастиях ударение падает на ЫВ/ИВ, АВ/ЯВ:\nнанЯвший, начАвший, налИвший"
21,"В причастиях ударение падает на суффикс ЯЩ:\n кормЯщий, кровоточАщий, молЯщий"
22,"В деепричастиях чаще всего ударение падает на -ЫВ/-ИВ, -АВ/-ЯВ:\nначАв, начАвшись, отдАв"
23,"Несогл. приложение – это название чего-то, заключенное в кавычки.\nНесогл. приложение стоит в начальной форме, если есть родовое слово.\nЕсли родового слова нет, то приложение изменяется по падежам"
24,"Представляет собой сложноподчиненное предложение.Верные формы:\nПроводник сказал: «Я принесу вам чай»\nПроводник сказал, что он принесет нам чай"
25,"Внутрь прич. об. не может попасть главное слово\nПрич. должно согласовываться в роде, числе и падеже с главным словом\nУ прич. есть настоящее время, прошедшее время, но нет будущего времени"
26,"Деепричастие называет добавочное действие, а глагол-сказуемое – основное. Деепричастие и глагол- сказуемое должны относиться к одному действующему лицу"
27,Род сложносокр. слов определяется по ключевому слову\nСказ. согласуется с главным словом сложного сущ.\nВ главной и придаточной частях СП подлежащее и сказуемое должны быть согласованы в числе
28,Основные варианты ошибок:\nЛишний союз\nСмешение сочинительных и подчинительных союзов\nЛишняя частица БЫ\nОтсутствует указательное слово\nСоюзное слово КОТОРЫЙ оторвано от определяемого слова
29,Нельзя употреблять глаголы разного времени и вида в пределах одного предложения
30,"Каждый из одн. чл. должен быть соотнесён с общим словом\nЕсли одн. чл. - прилаг. или причаст., они должны быть оба в полной или краткой форме\nНарушен порядок слов при использовании дв. союзов"
31,"СОГЛАСНО, ВОПРЕКИ, БЛАГОДАРЯ, СООБРАЗНО, НАПЕРЕРЕЗ, ПОДОБНО употребляются только с Д. п.\nПО в значении «после, в результате» употребляется с П. п."
32,"в меру/силу/течение/продолжение/заключение, по причине/завершении, наподобие, посредством + Р.п. существительного\nПары предлогов в - из, на - с"
